Entity,Code,Year,Living Planet Index,Upper CI,Lower CI
Europe and Central Asia,,1972,103.28786000000001,108.00542,99.027246
Europe and Central Asia,,1973,105.62783,111.60477,100.2073
Europe and Central Asia,,1974,107.57695000000001,114.59813999999999,101.18581
Europe and Central Asia,,1975,108.68518,116.59801,101.3882
Europe and Central Asia,,1976,109.44718,118.53101,101.01938
Europe and Central Asia,,1977,110.94269999999999,121.2312,101.3165
Europe and Central Asia,,1978,112.80895,124.22975999999998,102.20864999999999
Europe and Central Asia,,1979,113.88322,125.92561,102.75347
Europe and Central Asia,,1980,113.81798,126.32768999999999,102.36776
Europe and Central Asia,,1981,113.0956,125.89760999999999,101.37329
Europe and Central Asia,,1982,113.44912000000001,126.84618,101.34017
Europe and Central Asia,,1983,112.00391,126.16674,99.2967
Europe and Central Asia,,1984,112.05086,127.27556,98.55755
Europe and Central Asia,,1985,111.94302,128.0199,97.75014
Europe and Central Asia,,1986,113.95367,130.83416,99.136984
Europe and Central Asia,,1987,116.77142,134.63016000000002,101.17304
Europe and Central Asia,,1988,121.41253,140.58404,104.80396
Europe and Central Asia,,1989,126.9586,147.51549,109.27349
Europe and Central Asia,,1990,130.54469,152.01787,112.14299000000001
Europe and Central Asia,,1991,130.74106999999998,152.57057999999998,112.13323
Europe and Central Asia,,1992,128.74790000000002,150.57801,110.21059
Europe and Central Asia,,1993,125.25362,146.92699,106.95002
Europe and Central Asia,,1994,121.71162,143.15878,103.58981
Europe and Central Asia,,1995,118.51712,139.76157,100.58119
Europe and Central Asia,,1996,114.81868,135.81345,97.146565
Europe and Central Asia,,1997,111.92477000000001,132.79465,94.503236
Europe and Central Asia,,1998,109.07504999999999,129.83786,91.86212
Europe and Central Asia,,1999,107.35085,128.18654,90.19125700000001
Europe and Central Asia,,2000,106.45916,127.48808,89.232224
Europe and Central Asia,,2001,105.06132,126.33277999999999,87.682784
Europe and Central Asia,,2002,104.75336,126.50741000000001,87.07337000000001
Europe and Central Asia,,2003,104.16095999999999,126.28773,86.16325
Europe and Central Asia,,2004,104.87709999999998,127.40691,86.55889
Europe and Central Asia,,2005,105.44727,128.34432,86.83479
Europe and Central Asia,,2006,105.83016,129.13264,87.04496
Europe and Central Asia,,2007,105.57783,129.05332,86.64667
Europe and Central Asia,,2008,104.43362,128.3889,85.35069
Europe and Central Asia,,2009,104.42815999999999,129.7232,84.43234
Europe and Central Asia,,2010,105.53931999999999,132.85437,84.35701
Europe and Central Asia,,2011,103.0181,131.11759999999998,81.38415
Europe and Central Asia,,2012,98.60531,126.89137,77.090687
Europe and Central Asia,,2013,92.27528000000001,119.97452,71.41645
Europe and Central Asia,,2014,90.601116,119.62066,68.87111
Europe and Central Asia,,2015,88.429743,118.17702000000001,66.16786
Europe and Central Asia,,2016,86.1145,116.71817,63.379954999999995
Europe and Central Asia,,2017,83.487487,113.7751,61.18135
Europe and Central Asia,,2018,82.29153,112.55792,60.269076
Freshwater,,1970,100,100,100
Freshwater,,1971,98.29372,102.47843,94.56665
Freshwater,,1972,97.189265,103.87930999999999,91.16966
Freshwater,,1973,96.96878,104.85407,89.82408600000001
Freshwater,,1974,94.197947,103.64856,85.50666
Freshwater,,1975,90.1231,101.42602999999998,79.7466
Freshwater,,1976,85.91758,98.70903,74.14359499999999
Freshwater,,1977,82.21316,95.63809599999999,69.97021
Freshwater,,1978,78.75618,92.486036,66.39988
Freshwater,,1979,76.22495,90.88880400000001,63.42869399999999
Freshwater,,1980,74.38991,90.415186,60.867894
Freshwater,,1981,73.11067,90.25066000000001,59.09624
Freshwater,,1982,69.969213,87.08226,56.19381
Freshwater,,1983,66.303223,82.978463,52.95841
Freshwater,,1984,62.957823000000005,79.363483,49.822754
Freshwater,,1985,60.48363,77.221096,47.278905
Freshwater,,1986,58.40696,75.54019,45.176095
Freshwater,,1987,55.705594999999995,72.87413000000001,42.693946
Freshwater,,1988,52.63198,69.43903,40.06986
Freshwater,,1989,51.081663,67.770284,38.705185
Freshwater,,1990,49.279016,65.70952,37.17836
Freshwater,,1991,47.662228,63.879037000000004,35.776344
Freshwater,,1992,45.541835000000006,61.46893,33.98402
Freshwater,,1993,43.451172,58.98212,32.21657
Freshwater,,1994,41.45049,56.54251,30.562538
Freshwater,,1995,38.736326,52.943224,28.466417999999997
Freshwater,,1996,37.217679999999994,51.10593,27.292883
Freshwater,,1997,34.95773,48.258945,25.563574
Freshwater,,1998,33.017623,45.845434000000004,24.043849
Freshwater,,1999,30.736649999999997,42.888984,22.274897
Freshwater,,2000,29.127118000000003,40.759096,21.025494000000002
Freshwater,,2001,27.339613,38.575432,19.605839
Freshwater,,2002,25.804477999999996,36.706018,18.364713
Freshwater,,2003,24.816589999999998,35.681176,17.487542
Freshwater,,2004,24.352142,35.220927,17.039788
Freshwater,,2005,24.300851,35.341235999999995,16.904013000000003
Freshwater,,2006,23.917997999999997,34.97035,16.57076
Freshwater,,2007,23.463419,34.493323999999994,16.184498
Freshwater,,2008,22.630517,33.51946,15.51976
Freshwater,,2009,21.624906,32.275262,14.70883
Freshwater,,2010,20.667347,31.105952999999996,13.891721
Freshwater,,2011,19.198847,29.139252999999997,12.743758
Freshwater,,2012,18.021935,27.547591999999998,11.839764599999999
Freshwater,,2013,17.315143,26.621076,11.306868
Freshwater,,2014,17.427954,26.864237000000003,11.362858000000001
Freshwater,,2015,17.592992,27.18371,11.44561
Freshwater,,2016,17.399606000000002,26.899695,11.307169
Freshwater,,2017,17.211238,26.600084000000003,11.1643985
Freshwater,,2018,17.144190000000002,26.479793,11.110025
Latin America and the Caribbean,,1970,100,100,100
Latin America and the Caribbean,,1971,101.00716000000001,104.1106,98.41672
Latin America and the Caribbean,,1972,99.52311,106.14076999999999,93.648523
Latin America and the Caribbean,,1973,95.21222999999999,105.34183999999999,86.00033
Latin America and the Caribbean,,1974,89.55635,103.56533999999999,76.94124
Latin America and the Caribbean,,1975,83.39783,99.91398500000001,69.007236
Latin America and the Caribbean,,1976,78.07280399999999,95.888287,63.068044
Latin America and the Caribbean,,1977,73.04378,90.49234,58.530474
Latin America and the Caribbean,,1978,69.55935,86.466193,55.591725999999994
Latin America and the Caribbean,,1979,67.46533500000001,84.1739,53.73734999999999
Latin America and the Caribbean,,1980,65.049887,81.38417,51.61279
Latin America and the Caribbean,,1981,62.51380399999999,78.56076,49.31951
Latin America and the Caribbean,,1982,58.292376999999995,73.82035,45.644397
Latin America and the Caribbean,,1983,53.373234999999994,68.29493,41.5341
Latin America and the Caribbean,,1984,49.69776,64.53898,38.329867
Latin America and the Caribbean,,1985,46.941832,61.657560000000004,35.92598
Latin America and the Caribbean,,1986,44.316828,58.863676,33.49296
Latin America and the Caribbean,,1987,40.647778,54.438716,30.468062
Latin America and the Caribbean,,1988,37.765262,51.058865,28.068644
Latin America and the Caribbean,,1989,35.997015,48.975646,26.659885
Latin America and the Caribbean,,1990,34.99576,47.769725,25.823829999999997
Latin America and the Caribbean,,1991,33.75261,46.192682000000005,24.835324
Latin America and the Caribbean,,1992,32.369485,44.439268,23.764087
Latin America and the Caribbean,,1993,30.579263,42.156398,22.38023
Latin America and the Caribbean,,1994,28.683861999999998,39.654118,20.944676
Latin America and the Caribbean,,1995,26.682833,36.973378000000004,19.445473
Latin America and the Caribbean,,1996,25.40863,35.286403,18.488067
Latin America and the Caribbean,,1997,24.046503,33.48972,17.452848000000003
Latin America and the Caribbean,,1998,22.588177,31.576797,16.305588
Latin America and the Caribbean,,1999,20.8281,29.225230000000003,14.961208000000001
Latin America and the Caribbean,,2000,19.755171,27.82032,14.11916
Latin America and the Caribbean,,2001,18.556382,26.391910000000003,13.144104
Latin America and the Caribbean,,2002,17.433499,25.073707,12.1887475
Latin America and the Caribbean,,2003,16.20749,23.623987,11.166549
Latin America and the Caribbean,,2004,15.498991,22.792058,10.5613
Latin America and the Caribbean,,2005,15.30814,22.73106,10.359299
Latin America and the Caribbean,,2006,15.01258,22.475517,10.0761406
Latin America and the Caribbean,,2007,14.548460999999998,21.913321,9.718401
Latin America and the Caribbean,,2008,13.593334000000002,20.590529,9.001263
Latin America and the Caribbean,,2009,11.946083999999999,18.28886,7.827246000000001
Latin America and the Caribbean,,2010,10.376488,16.129908,6.697218
Latin America and the Caribbean,,2011,8.8097505,13.977073,5.5901676
Latin America and the Caribbean,,2012,8.114753,13.040882000000002,5.0982557
Latin America and the Caribbean,,2013,7.750034,12.585768,4.831049
Latin America and the Caribbean,,2014,7.7751584,12.803666,4.798903
Latin America and the Caribbean,,2015,7.849206000000001,13.073795999999998,4.7955114
Latin America and the Caribbean,,2016,7.406642,12.639304000000001,4.433813300000001
Latin America and the Caribbean,,2017,6.855036,11.918571,4.0334936
Latin America and the Caribbean,,2018,6.413632,11.390088,3.7027989999999997
North America,,1970,100,100,100
North America,,1971,99.70049,105.50579,95.26554
North America,,1972,98.18143,108.23327,90.619797
North America,,1973,96.02159999999999,108.92596,86.65405
North America,,1974,92.0816,104.92985999999999,82.373613
North America,,1975,89.986813,103.11446,79.93089
North America,,1976,89.22585,102.77493,78.64761
North America,,1977,89.83210299999999,104.33984999999998,78.41815
North America,,1978,90.75527,106.49017,78.33395
North America,,1979,91.132224,107.94581000000001,77.92059
North America,,1980,90.86614,108.34336,77.14146
North America,,1981,90.088695,107.81163000000001,76.10939
North America,,1982,89.639145,107.71284999999999,75.36084
North America,,1983,89.53062,108.12254999999999,74.878985
North America,,1984,88.89054,108.07860000000001,73.898184
North America,,1985,88.7671,108.63074999999999,73.42565
North America,,1986,88.24642,108.60078,72.682476
North America,,1987,87.489575,107.94314,71.763223
North America,,1988,86.57777300000001,107.15538,70.691913
North America,,1989,85.273826,105.96768,69.26593
North America,,1990,85.23145,106.39251,68.94315
North America,,1991,84.330565,105.55338,67.954826
North America,,1992,84.54887,106.04084,67.92086400000001
North America,,1993,84.59546999999999,106.3081,67.76249399999999
North America,,1994,85.154176,107.3702,68.00260999999999
North America,,1995,82.9825,105.20239000000001,65.94427
North America,,1996,80.45053,102.6562,63.58123
North America,,1997,77.97703,100.13014,61.25174
North America,,1998,76.00232,98.083544,59.413090000000004
North America,,1999,74.02555,95.95401,57.599103
North America,,2000,72.16022600000001,93.95517,55.86932
North America,,2001,70.79394500000001,92.545867,54.542536
North America,,2002,71.13185,93.50483,54.4309
North America,,2003,71.88987999999999,95.105845,54.63365
North America,,2004,73.64513000000001,98.0256,55.561805
North America,,2005,73.688024,98.710823,55.250895
North America,,2006,73.619944,99.06654,54.99012
North America,,2007,73.567396,99.304825,54.818940000000005
North America,,2008,73.55834,99.438083,54.731624999999994
North America,,2009,73.344666,99.3761,54.35497
North America,,2010,72.69097,98.800534,53.67337
North America,,2011,72.316015,98.468244,53.235096000000006
North America,,2012,70.99258,96.95509,52.03845499999999
North America,,2013,70.26417000000001,96.50061,51.205619999999996
North America,,2014,70.784634,97.82638,51.203024
North America,,2015,72.96427,101.4748,52.56578
North America,,2016,75.43352,105.72767999999999,54.017854
North America,,2017,77.50175999999999,109.47368,55.236315999999995
North America,,2018,79.64778,113.08709999999999,56.51432
World,OWID_WRL,1970,100,100,100
World,OWID_WRL,1971,99.100274,100.95321,97.314894
World,OWID_WRL,1972,97.92988299999999,101.19308000000001,94.765395
World,OWID_WRL,1973,96.78284000000001,101.0056,92.66360399999999
World,OWID_WRL,1974,95.34543,100.61855,90.26827
World,OWID_WRL,1975,93.5558,99.797106,87.630314
World,OWID_WRL,1976,91.48922,98.40793599999999,84.93378
World,OWID_WRL,1977,88.535243,95.61089,81.85309
World,OWID_WRL,1978,85.68405,92.78716,78.98626300000001
World,OWID_WRL,1979,83.34747999999999,90.67068,76.508504
World,OWID_WRL,1980,81.508094,89.21051,74.38827
World,OWID_WRL,1981,79.83687499999999,87.825114,72.519106
World,OWID_WRL,1982,77.281386,85.3323,69.95192999999999
World,OWID_WRL,1983,74.518186,82.545936,67.245495
World,OWID_WRL,1984,71.832025,79.88060999999999,64.54339999999999
World,OWID_WRL,1985,69.753116,77.9047,62.438583
World,OWID_WRL,1986,68.125665,76.37934,60.787445
World,OWID_WRL,1987,66.32249,74.57041,59.047276000000004
World,OWID_WRL,1988,64.5467,72.78272,57.360107000000006
World,OWID_WRL,1989,63.574344,71.83838,56.40368
World,OWID_WRL,1990,62.68112,71.03061699999999,55.489489999999996
World,OWID_WRL,1991,61.60914,69.99981,54.35424
World,OWID_WRL,1992,60.11985,68.492013,52.88128
World,OWID_WRL,1993,58.109295,66.366005,50.978494
World,OWID_WRL,1994,56.2009,64.327544,49.202332
World,OWID_WRL,1995,54.0361,62.032497,47.202936
World,OWID_WRL,1996,53.04214,61.012036,46.222429999999996
World,OWID_WRL,1997,51.750076,59.61437000000001,44.999584999999996
World,OWID_WRL,1998,50.466454000000006,58.17772,43.80925
World,OWID_WRL,1999,48.66438,56.1624,42.201585
World,OWID_WRL,2000,47.221538,54.56817,40.889674
World,OWID_WRL,2001,45.67137,52.91405,39.431146
World,OWID_WRL,2002,44.498393,51.682967000000005,38.306534
World,OWID_WRL,2003,43.515654999999995,50.666520000000006,37.361896
World,OWID_WRL,2004,42.92783,50.121294999999996,36.773178
World,OWID_WRL,2005,42.203152,49.44708,36.074308
World,OWID_WRL,2006,41.295153,48.593137,35.203314
World,OWID_WRL,2007,40.142804,47.357875,34.139636
World,OWID_WRL,2008,38.719392,45.78164,32.835358
World,OWID_WRL,2009,36.877126,43.730485,31.167859999999997
World,OWID_WRL,2010,35.15315,41.861284,29.596213
World,OWID_WRL,2011,33.44104,40.005717000000004,28.050019999999996
World,OWID_WRL,2012,32.37109,38.842242999999996,27.085876
World,OWID_WRL,2013,31.738263,38.135353,26.500439999999998
World,OWID_WRL,2014,31.669019999999996,38.071987,26.383457
World,OWID_WRL,2015,31.627533000000003,38.06872,26.281209999999998
World,OWID_WRL,2016,31.145410000000002,37.562138,25.77021
World,OWID_WRL,2017,30.88527,37.34304,25.465453
World,OWID_WRL,2018,30.897567,37.43781,25.400314
