Country Name,Year,Tree Cover Loss (hectares)
Armenia,2006,130.0
Armenia,2007,55.0
Armenia,2008,113.0
Armenia,2009,203.0
Armenia,2010,162.0
Armenia,2011,174.0
Armenia,2012,198.0
Armenia,2013,42.0
Armenia,2014,38.0
Armenia,2015,2.0
Armenia,2016,30.0
Armenia,2017,42.0
Armenia,2018,6.0
Armenia,2019,1.0
Armenia,2020,19.0
Armenia,2021,5.0
Australia,2004,124769.0
Australia,2011,121316.0
Australia,2012,139803.0
Austria,2002,10902.0
Austria,2003,14476.0
Austria,2004,14599.0
Austria,2005,21657.0
Austria,2006,12584.0
Austria,2007,31670.0
Austria,2008,26896.0
Austria,2009,15887.0
Austria,2010,16713.0
Austria,2011,18090.0
Austria,2012,11158.0
Austria,2013,7645.0
Austria,2014,9870.0
Austria,2015,7938.0
Austria,2016,17210.0
Austria,2017,18406.0
Austria,2018,26310.0
Austria,2019,33642.0
Austria,2020,25937.0
Austria,2021,16652.0
Azerbaijan,2002,1154.0
Azerbaijan,2003,1039.0
Azerbaijan,2004,585.0
Azerbaijan,2005,246.0
Azerbaijan,2006,525.0
Azerbaijan,2007,508.0
Azerbaijan,2008,472.0
Azerbaijan,2009,372.0
Azerbaijan,2010,550.0
Azerbaijan,2011,147.0
Azerbaijan,2012,598.0
Azerbaijan,2013,149.0
Azerbaijan,2014,328.0
Azerbaijan,2015,27.0
Azerbaijan,2016,25.0
Azerbaijan,2017,80.0
Azerbaijan,2018,75.0
Azerbaijan,2019,12.0
Azerbaijan,2020,23.0
Azerbaijan,2021,85.0
"Bahamas, The",2002,701.0
"Bahamas, The",2003,274.0
"Bahamas, The",2004,588.0
"Bahamas, The",2005,1450.0
"Bahamas, The",2006,1016.0
"Bahamas, The",2007,605.0
"Bahamas, The",2008,1949.0
"Bahamas, The",2009,824.0
"Bahamas, The",2010,401.0
"Bahamas, The",2011,625.0
"Bahamas, The",2012,371.0
"Bahamas, The",2013,1573.0
"Bahamas, The",2014,902.0
"Bahamas, The",2015,1089.0
"Bahamas, The",2016,3136.0
"Bahamas, The",2017,3704.0
"Bahamas, The",2018,914.0
"Bahamas, The",2019,1558.0
"Bahamas, The",2020,2696.0
"Bahamas, The",2021,1549.0
Bangladesh,2002,3995.0
Bangladesh,2003,2159.0
Bangladesh,2004,4283.0
Bangladesh,2005,3293.0
Bangladesh,2006,6863.0
Bangladesh,2007,3995.0
Bangladesh,2008,4480.0
Bangladesh,2009,5625.0
Bangladesh,2010,4668.0
Bangladesh,2011,4181.0
Bangladesh,2012,5359.0
Bangladesh,2013,6022.0
Bangladesh,2014,12061.0
Bangladesh,2015,12604.0
Bangladesh,2016,21196.0
Bangladesh,2017,28377.0
Bangladesh,2018,19343.0
Bangladesh,2019,22079.0
Bangladesh,2020,21475.0
Bangladesh,2021,17587.0
Barbados,2002,11.0
Barbados,2003,3.0
Barbados,2004,8.0
Barbados,2005,10.0
Barbados,2006,4.0
Barbados,2007,32.0
Barbados,2008,14.0
Barbados,2009,13.0
Barbados,2010,17.0
Barbados,2011,18.0
Barbados,2012,117.0
Barbados,2013,5.0
Barbados,2014,2.0
Barbados,2015,2.0
Barbados,2016,14.0
Barbados,2017,16.0
Barbados,2018,23.0
Barbados,2019,54.0
Barbados,2020,22.0
Barbados,2021,17.0
Belarus,2002,25383.0
Belarus,2003,32119.0
Belarus,2004,38597.0
Belarus,2005,36192.0
Belarus,2006,42269.0
Belarus,2007,32657.0
Belarus,2008,35896.0
Belarus,2009,35543.0
Belarus,2010,35754.0
Belarus,2011,45367.0
Belarus,2012,39591.0
Belarus,2013,28085.0
Belarus,2014,33626.0
Belarus,2015,33899.0
Belarus,2016,90487.0
Belarus,2017,78767.0
Belarus,2018,87447.0
Belarus,2019,75049.0
Belarus,2020,68932.0
Belarus,2021,63479.0
Belgium,2002,2348.0
Belgium,2003,1890.0
Belgium,2004,4793.0
Belgium,2005,3028.0
Belgium,2006,6916.0
Belgium,2007,5985.0
Belgium,2008,7214.0
Belgium,2009,5176.0
Belgium,2010,10909.0
Belgium,2011,5016.0
Belgium,2012,5635.0
Belgium,2013,3315.0
Belgium,2014,4239.0
Belgium,2015,3420.0
Belgium,2016,4512.0
Belgium,2017,4137.0
Belgium,2018,4631.0
Belgium,2019,5577.0
Belgium,2020,5409.0
Belgium,2021,9143.0
Belize,2002,13474.0
Belize,2003,6844.0
Belize,2004,4312.0
Belize,2005,8104.0
Belize,2006,4270.0
Belize,2007,12264.0
Belize,2008,8216.0
Belize,2009,10264.0
Belize,2010,9766.0
Belize,2011,26386.0
Belize,2012,11528.0
Belize,2013,16373.0
Belize,2014,16465.0
Belize,2015,12271.0
Belize,2016,20511.0
Belize,2017,16366.0
Belize,2018,11164.0
Belize,2019,18373.0
Belize,2020,26512.0
Belize,2021,9290.0
Benin,2002,3480.0
Benin,2003,3476.0
Benin,2004,684.0
Benin,2005,1591.0
Benin,2006,1795.0
Benin,2007,4660.0
Benin,2008,482.0
Benin,2009,4929.0
Benin,2010,529.0
Benin,2011,655.0
Benin,2012,2865.0
Benin,2013,1313.0
Benin,2014,1358.0
Benin,2015,598.0
Benin,2016,2016.0
Benin,2017,2238.0
Benin,2018,1826.0
Benin,2019,775.0
Benin,2020,1606.0
Benin,2021,1705.0
Bhutan,2002,224.0
Bhutan,2003,544.0
Bhutan,2004,1013.0
Bhutan,2005,770.0
Bhutan,2006,623.0
Bhutan,2007,508.0
Bhutan,2008,775.0
Bhutan,2009,1175.0
Bhutan,2010,4354.0
Bhutan,2011,1091.0
Bhutan,2012,766.0
Bhutan,2013,485.0
Bhutan,2014,1229.0
Bhutan,2015,747.0
Bhutan,2016,1963.0
Bhutan,2017,1972.0
Bhutan,2018,1240.0
Bhutan,2019,820.0
Bhutan,2020,1288.0
Bhutan,2021,1279.0
Bosnia and Herzegovina,2002,693.0
Bosnia and Herzegovina,2003,308.0
Bosnia and Herzegovina,2004,4122.0
Bosnia and Herzegovina,2005,574.0
Bosnia and Herzegovina,2006,536.0
Bosnia and Herzegovina,2007,2682.0
Bosnia and Herzegovina,2008,1552.0
Bosnia and Herzegovina,2009,1296.0
Bosnia and Herzegovina,2010,911.0
Bosnia and Herzegovina,2011,971.0
Bosnia and Herzegovina,2012,2434.0
Bosnia and Herzegovina,2013,2574.0
Bosnia and Herzegovina,2014,1790.0
Bosnia and Herzegovina,2015,581.0
Bosnia and Herzegovina,2016,2308.0
Bosnia and Herzegovina,2017,1339.0
Bosnia and Herzegovina,2018,2674.0
Bosnia and Herzegovina,2019,1232.0
Bosnia and Herzegovina,2020,1842.0
Bosnia and Herzegovina,2021,1019.0
Botswana,2002,23.0
Botswana,2003,9.0
Botswana,2004,51.0
Botswana,2005,49.0
Botswana,2006,40.0
Botswana,2007,34.0
Botswana,2008,26.0
Botswana,2009,41.0
Botswana,2010,30.0
Botswana,2011,21.0
Botswana,2012,16.0
Botswana,2013,14.0
Botswana,2014,16.0
Botswana,2016,1.0
Botswana,2017,1.0
Botswana,2018,3.0
Botswana,2020,2.0
Botswana,2021,1.0
Brunei Darussalam,2002,1089.0
Brunei Darussalam,2003,799.0
Brunei Darussalam,2004,1197.0
Brunei Darussalam,2005,1278.0
Brunei Darussalam,2006,1014.0
Brunei Darussalam,2007,1565.0
Brunei Darussalam,2008,1300.0
Brunei Darussalam,2009,2169.0
Brunei Darussalam,2010,967.0
Brunei Darussalam,2011,2620.0
Brunei Darussalam,2012,1837.0
Brunei Darussalam,2013,888.0
Brunei Darussalam,2014,2225.0
Brunei Darussalam,2015,1761.0
Brunei Darussalam,2016,2573.0
Brunei Darussalam,2017,945.0
Brunei Darussalam,2018,807.0
Brunei Darussalam,2019,1169.0
Brunei Darussalam,2020,1166.0
Brunei Darussalam,2021,953.0
Bulgaria,2002,4639.0
Bulgaria,2003,5199.0
Bulgaria,2004,8170.0
Bulgaria,2005,6567.0
Bulgaria,2006,5171.0
Bulgaria,2007,9557.0
Bulgaria,2008,6448.0
Bulgaria,2009,6100.0
Bulgaria,2010,3569.0
Bulgaria,2011,3332.0
Bulgaria,2012,9978.0
Bulgaria,2013,3693.0
Bulgaria,2014,6689.0
Bulgaria,2015,7293.0
Bulgaria,2016,7395.0
Bulgaria,2017,7688.0
Bulgaria,2018,9754.0
Bulgaria,2019,4125.0
Bulgaria,2020,4795.0
Bulgaria,2021,6684.0
Burkina Faso,2002,4.0
Burkina Faso,2003,2.0
Burkina Faso,2004,9.0
Burkina Faso,2005,17.0
Burkina Faso,2006,5.0
Burkina Faso,2007,3.0
Burkina Faso,2008,5.0
Burkina Faso,2009,5.0
Burkina Faso,2010,7.0
Burkina Faso,2011,15.0
Burundi,2002,987.0
Burundi,2003,1325.0
Burundi,2004,614.0
Burundi,2005,985.0
Burundi,2006,344.0
Burundi,2007,1862.0
Burundi,2008,1999.0
Burundi,2009,883.0
Burundi,2010,1905.0
Burundi,2011,961.0
Burundi,2012,871.0
Burundi,2013,1406.0
Burundi,2014,2047.0
Burundi,2015,1458.0
Burundi,2016,1576.0
Burundi,2017,1775.0
Burundi,2018,2875.0
Burundi,2019,2386.0
Burundi,2020,1857.0
Burundi,2021,2272.0
Cabo Verde,2002,23.0
Cabo Verde,2003,9.0
Cabo Verde,2004,1.0
Cabo Verde,2005,5.0
Cabo Verde,2006,6.0
Cabo Verde,2007,1.0
Cabo Verde,2009,8.0
Cabo Verde,2010,1.0
Cabo Verde,2011,16.0
Cabo Verde,2012,9.0
Cabo Verde,2013,10.0
Cabo Verde,2014,4.0
Cabo Verde,2018,11.0
Cabo Verde,2020,3.0
Cambodia,2002,54862.0
Cambodia,2003,56840.0
Cambodia,2004,79251.0
Cambodia,2005,64649.0
Cambodia,2006,80507.0
Cambodia,2007,77676.0
Cambodia,2008,83499.0
Cambodia,2009,121021.0
Cambodia,2015,132701.0
Cambodia,2017,118333.0
Cambodia,2018,113205.0
Cambodia,2019,143307.0
Cambodia,2020,143488.0
Cambodia,2021,144246.0
Cameroon,2002,28767.0
Cameroon,2003,25345.0
Cameroon,2004,23003.0
Cameroon,2005,25159.0
Cameroon,2006,35986.0
Cameroon,2007,45916.0
Cameroon,2008,35142.0
Cameroon,2009,36072.0
Cameroon,2010,57992.0
Cameroon,2011,27652.0
Cameroon,2012,51268.0
Cameroon,2013,84612.0
Cameroon,2015,78970.0
Cameroon,2016,116619.0
Cameroon,2018,120814.0
Cameroon,2019,121801.0
Central African Republic,2002,34418.0
Central African Republic,2003,13727.0
Central African Republic,2004,14589.0
Central African Republic,2005,29317.0
Central African Republic,2006,57883.0
Central African Republic,2007,37308.0
Central African Republic,2008,31860.0
Central African Republic,2009,48253.0
Central African Republic,2010,48554.0
Central African Republic,2011,49140.0
Central African Republic,2012,57314.0
Central African Republic,2013,44182.0
Central African Republic,2014,57852.0
Central African Republic,2015,27316.0
Central African Republic,2016,51152.0
Central African Republic,2017,63910.0
Central African Republic,2018,40913.0
Central African Republic,2019,49026.0
Central African Republic,2020,55137.0
Central African Republic,2021,67181.0
Chad,2002,1958.0
Chad,2003,194.0
Chad,2004,457.0
Chad,2005,472.0
Chad,2006,2982.0
Chad,2007,1001.0
Chad,2008,3402.0
Chad,2009,1066.0
Chad,2010,255.0
Chad,2011,920.0
Chad,2012,2491.0
Chad,2013,2895.0
Chad,2014,3001.0
Chad,2015,2591.0
Chad,2016,3166.0
Chad,2017,6765.0
Chad,2018,6932.0
Chad,2019,5059.0
Chad,2020,3433.0
Chad,2021,5095.0
Chile,2002,78081.0
Chile,2003,82844.0
Chile,2004,85729.0
Chile,2005,106926.0
Chile,2006,91923.0
Chile,2007,121652.0
Chile,2008,123068.0
Chile,2009,88567.0
Chile,2010,91496.0
Chile,2011,99350.0
Chile,2013,102243.0
Chile,2014,119335.0
Chile,2015,106107.0
Chile,2016,113904.0
Chile,2018,76898.0
Chile,2019,78735.0
Chile,2020,70592.0
Chile,2021,71610.0
Colombia,2003,122417.0
Colombia,2013,138898.0
Colombia,2015,140856.0
Comoros,2002,41.0
Comoros,2003,27.0
Comoros,2004,40.0
Comoros,2005,87.0
Comoros,2006,13.0
Comoros,2007,78.0
Comoros,2008,35.0
Comoros,2009,112.0
Comoros,2010,92.0
Comoros,2011,123.0
Comoros,2012,127.0
Comoros,2013,1730.0
Comoros,2014,1474.0
Comoros,2015,429.0
Comoros,2016,124.0
Comoros,2017,308.0
Comoros,2018,218.0
Comoros,2019,280.0
Comoros,2020,266.0
Comoros,2021,165.0
"Congo, Rep.",2002,24310.0
"Congo, Rep.",2003,18515.0
"Congo, Rep.",2004,13833.0
"Congo, Rep.",2005,18853.0
"Congo, Rep.",2006,22154.0
"Congo, Rep.",2007,29765.0
"Congo, Rep.",2008,17374.0
"Congo, Rep.",2009,19073.0
"Congo, Rep.",2010,44665.0
"Congo, Rep.",2011,28374.0
"Congo, Rep.",2012,32144.0
"Congo, Rep.",2013,54641.0
"Congo, Rep.",2014,72891.0
"Congo, Rep.",2015,47823.0
"Congo, Rep.",2016,114303.0
"Congo, Rep.",2017,63875.0
"Congo, Rep.",2018,62698.0
"Congo, Rep.",2019,73758.0
"Congo, Rep.",2020,64540.0
"Congo, Rep.",2021,58193.0
Costa Rica,2002,13289.0
Costa Rica,2003,8261.0
Costa Rica,2004,9767.0
Costa Rica,2005,16563.0
Costa Rica,2006,10059.0
Costa Rica,2007,11448.0
Costa Rica,2008,21875.0
Costa Rica,2009,22465.0
Costa Rica,2010,13145.0
Costa Rica,2011,10496.0
Costa Rica,2012,10367.0
Costa Rica,2013,7786.0
Costa Rica,2014,10934.0
Costa Rica,2015,3300.0
Costa Rica,2016,13791.0
Costa Rica,2017,22096.0
Costa Rica,2018,12338.0
Costa Rica,2019,11486.0
Costa Rica,2020,8261.0
Costa Rica,2021,7848.0
Cote d'Ivoire,2002,144560.0
Cote d'Ivoire,2003,86282.0
Cote d'Ivoire,2004,48048.0
Cote d'Ivoire,2005,65321.0
Cote d'Ivoire,2006,97781.0
Cote d'Ivoire,2007,90865.0
Cote d'Ivoire,2008,127555.0
Cote d'Ivoire,2009,108876.0
Cote d'Ivoire,2010,92492.0
Cote d'Ivoire,2011,124683.0
Cote d'Ivoire,2012,96129.0
Croatia,2002,2340.0
Croatia,2003,1739.0
Croatia,2004,6727.0
Croatia,2005,2747.0
Croatia,2006,2204.0
Croatia,2007,3237.0
Croatia,2008,3891.0
Croatia,2009,2903.0
Croatia,2010,3499.0
Croatia,2011,2919.0
Croatia,2012,5004.0
Croatia,2013,2998.0
Croatia,2014,4559.0
Croatia,2015,2669.0
Croatia,2016,5373.0
Croatia,2017,5847.0
Croatia,2018,8285.0
Croatia,2019,5978.0
Croatia,2020,6052.0
Croatia,2021,5264.0
Cuba,2002,15036.0
Cuba,2003,6557.0
Cuba,2004,21974.0
Cuba,2005,12834.0
Cuba,2006,12305.0
Cuba,2007,7874.0
Cuba,2008,17084.0
Cuba,2009,16260.0
Cuba,2010,8608.0
Cuba,2011,16313.0
Cuba,2012,10345.0
Cuba,2013,6072.0
Cuba,2014,5861.0
Cuba,2015,6726.0
Cuba,2016,74053.0
Cuba,2017,76814.0
Cuba,2018,14955.0
Cuba,2019,7464.0
Cuba,2020,12618.0
Cuba,2021,9721.0
Cyprus,2002,32.0
Cyprus,2003,25.0
Cyprus,2004,88.0
Cyprus,2005,35.0
Cyprus,2006,59.0
Cyprus,2007,778.0
Cyprus,2008,95.0
Cyprus,2009,56.0
Cyprus,2010,64.0
Cyprus,2011,119.0
Cyprus,2012,54.0
Cyprus,2013,14.0
Cyprus,2014,33.0
Cyprus,2015,20.0
Cyprus,2016,569.0
Cyprus,2017,437.0
Cyprus,2018,32.0
Cyprus,2019,43.0
Cyprus,2020,33.0
Cyprus,2021,643.0
Czechia,2002,6766.0
Czechia,2003,3925.0
Czechia,2004,13454.0
Czechia,2005,25560.0
Czechia,2006,8607.0
Czechia,2007,21325.0
Czechia,2008,16873.0
Czechia,2009,13514.0
Czechia,2010,15442.0
Czechia,2011,21853.0
Czechia,2012,14006.0
Czechia,2013,7659.0
Czechia,2014,13940.0
Czechia,2015,8047.0
Czechia,2016,22808.0
Czechia,2017,26512.0
Czechia,2018,39206.0
Czechia,2019,73295.0
Czechia,2020,100258.0
Czechia,2021,56293.0
Denmark,2002,1204.0
Denmark,2003,1580.0
Denmark,2004,2414.0
Denmark,2005,9049.0
Denmark,2006,5214.0
Denmark,2007,4381.0
Denmark,2008,6061.0
Denmark,2009,6646.0
Denmark,2010,4428.0
Denmark,2011,3132.0
Denmark,2012,4452.0
Denmark,2013,2015.0
Denmark,2014,5321.0
Denmark,2015,2583.0
Denmark,2016,4656.0
Denmark,2017,4360.0
Denmark,2018,3162.0
Denmark,2019,9180.0
Denmark,2020,3194.0
Denmark,2021,4795.0
Dominica,2002,12.0
Dominica,2003,27.0
Dominica,2004,79.0
Dominica,2005,52.0
Dominica,2006,25.0
Dominica,2007,40.0
Dominica,2008,93.0
Dominica,2009,74.0
Dominica,2010,92.0
Dominica,2011,44.0
Dominica,2012,145.0
Dominica,2013,22.0
Dominica,2014,12.0
Dominica,2015,2.0
Dominica,2016,7.0
Dominica,2017,23291.0
Dominica,2018,779.0
Dominica,2019,59.0
Dominica,2020,66.0
Dominica,2021,30.0
Dominican Republic,2002,10436.0
Dominican Republic,2003,10714.0
Dominican Republic,2004,19388.0
Dominican Republic,2005,25088.0
Dominican Republic,2006,13414.0
Dominican Republic,2007,16059.0
Dominican Republic,2008,21612.0
Dominican Republic,2009,13967.0
Dominican Republic,2010,14103.0
Dominican Republic,2011,12960.0
Dominican Republic,2012,17906.0
Dominican Republic,2013,12703.0
Dominican Republic,2014,13678.0
Dominican Republic,2015,15091.0
Dominican Republic,2016,24907.0
Dominican Republic,2017,27063.0
Dominican Republic,2018,13970.0
Dominican Republic,2019,14931.0
Dominican Republic,2020,21441.0
Dominican Republic,2021,14182.0
Ecuador,2002,29818.0
Ecuador,2003,13836.0
Ecuador,2004,37250.0
Ecuador,2005,40379.0
Ecuador,2006,35603.0
Ecuador,2007,60540.0
Ecuador,2008,51890.0
Ecuador,2009,57646.0
Ecuador,2010,33772.0
Ecuador,2011,43630.0
Ecuador,2012,74206.0
Ecuador,2013,48383.0
Ecuador,2014,30905.0
Ecuador,2015,30078.0
Ecuador,2016,44043.0
Ecuador,2017,71108.0
Ecuador,2018,38709.0
Ecuador,2019,35646.0
Ecuador,2020,48915.0
Ecuador,2021,30273.0
"Egypt, Arab Rep.",2002,49.0
"Egypt, Arab Rep.",2003,61.0
"Egypt, Arab Rep.",2004,101.0
"Egypt, Arab Rep.",2005,53.0
"Egypt, Arab Rep.",2006,38.0
"Egypt, Arab Rep.",2007,78.0
"Egypt, Arab Rep.",2008,81.0
"Egypt, Arab Rep.",2009,60.0
"Egypt, Arab Rep.",2010,98.0
"Egypt, Arab Rep.",2011,103.0
"Egypt, Arab Rep.",2012,439.0
"Egypt, Arab Rep.",2013,97.0
"Egypt, Arab Rep.",2014,115.0
"Egypt, Arab Rep.",2015,32.0
"Egypt, Arab Rep.",2016,37.0
"Egypt, Arab Rep.",2017,58.0
"Egypt, Arab Rep.",2018,63.0
"Egypt, Arab Rep.",2019,21.0
"Egypt, Arab Rep.",2020,18.0
"Egypt, Arab Rep.",2021,18.0
El Salvador,2002,4667.0
El Salvador,2003,5984.0
El Salvador,2004,4555.0
El Salvador,2005,5881.0
El Salvador,2006,4604.0
El Salvador,2007,2984.0
El Salvador,2008,3325.0
El Salvador,2009,4284.0
El Salvador,2010,2873.0
El Salvador,2011,3242.0
El Salvador,2012,2536.0
El Salvador,2013,2053.0
El Salvador,2014,2320.0
El Salvador,2015,2389.0
El Salvador,2016,5744.0
El Salvador,2017,4746.0
El Salvador,2018,2704.0
El Salvador,2019,2249.0
El Salvador,2020,2208.0
El Salvador,2021,1489.0
Equatorial Guinea,2002,2986.0
Equatorial Guinea,2003,1961.0
Equatorial Guinea,2004,421.0
Equatorial Guinea,2005,1609.0
Equatorial Guinea,2006,1256.0
Equatorial Guinea,2007,3142.0
Equatorial Guinea,2008,4822.0
Equatorial Guinea,2009,5685.0
Equatorial Guinea,2010,6593.0
Equatorial Guinea,2011,7706.0
Equatorial Guinea,2012,4953.0
Equatorial Guinea,2013,7290.0
Equatorial Guinea,2014,19211.0
Equatorial Guinea,2015,7469.0
Equatorial Guinea,2016,9545.0
Equatorial Guinea,2017,11938.0
Equatorial Guinea,2018,7823.0
Equatorial Guinea,2019,9526.0
Equatorial Guinea,2020,4870.0
Equatorial Guinea,2021,8906.0
Estonia,2002,21918.0
Estonia,2003,5633.0
Estonia,2004,18106.0
Estonia,2005,14818.0
Estonia,2006,21732.0
Estonia,2007,16189.0
Estonia,2008,18297.0
Estonia,2009,18823.0
Estonia,2010,21496.0
Estonia,2011,27199.0
Estonia,2012,17685.0
Estonia,2013,17089.0
Estonia,2014,23577.0
Estonia,2015,25420.0
Estonia,2016,36335.0
Estonia,2017,38857.0
Estonia,2018,40038.0
Estonia,2019,45917.0
Estonia,2020,36805.0
Estonia,2021,34004.0
Ethiopia,2002,13074.0
Ethiopia,2003,13936.0
Ethiopia,2004,13396.0
Ethiopia,2005,15869.0
Ethiopia,2006,12076.0
Ethiopia,2007,25609.0
Ethiopia,2008,24009.0
Ethiopia,2009,29279.0
Ethiopia,2010,20184.0
Ethiopia,2011,15463.0
Ethiopia,2012,41632.0
Ethiopia,2013,30851.0
Ethiopia,2014,32725.0
Ethiopia,2015,10276.0
Ethiopia,2016,19582.0
Ethiopia,2017,35404.0
Ethiopia,2018,18894.0
Ethiopia,2019,25582.0
Ethiopia,2020,17981.0
Ethiopia,2021,19751.0
Fiji,2002,703.0
Fiji,2003,1572.0
Fiji,2004,2080.0
Fiji,2005,1666.0
Fiji,2006,1874.0
Fiji,2007,2148.0
Fiji,2008,2387.0
Fiji,2009,1791.0
Fiji,2010,2347.0
Fiji,2011,553.0
Fiji,2012,1220.0
Fiji,2013,2699.0
Fiji,2014,3689.0
Fiji,2015,1838.0
Fiji,2016,8373.0
Fiji,2017,3092.0
Fiji,2018,1367.0
Fiji,2019,1456.0
Fiji,2020,2067.0
Fiji,2021,7199.0
Finland,2002,142432.0
Finland,2003,89697.0
Finland,2004,146602.0
Finland,2013,148661.0
France,2002,33888.0
France,2003,26393.0
France,2004,76134.0
France,2005,46391.0
France,2006,55049.0
France,2007,49246.0
France,2008,86955.0
France,2009,67054.0
France,2010,143265.0
France,2011,64074.0
France,2012,67303.0
France,2013,30352.0
France,2014,44359.0
France,2015,37293.0
France,2016,60768.0
France,2017,69249.0
France,2018,69201.0
France,2019,81304.0
France,2020,77746.0
France,2021,112886.0
Gabon,2002,13852.0
Gabon,2003,16845.0
Gabon,2004,9982.0
Gabon,2005,17699.0
Gabon,2006,19301.0
Gabon,2007,16501.0
Gabon,2008,17367.0
Gabon,2009,18252.0
Gabon,2010,10674.0
Gabon,2011,18161.0
Gabon,2012,17476.0
Gabon,2013,44449.0
Gabon,2014,48752.0
Gabon,2015,25473.0
Gabon,2016,32151.0
Gabon,2017,38644.0
Gabon,2018,26788.0
Gabon,2019,28561.0
Gabon,2020,22022.0
Gabon,2021,18318.0
"Gambia, The",2002,40.0
"Gambia, The",2003,11.0
"Gambia, The",2004,63.0
"Gambia, The",2005,6.0
"Gambia, The",2006,6.0
"Gambia, The",2007,50.0
"Gambia, The",2008,297.0
"Gambia, The",2009,9.0
"Gambia, The",2010,24.0
"Gambia, The",2011,30.0
"Gambia, The",2012,41.0
"Gambia, The",2013,12.0
"Gambia, The",2014,17.0
"Gambia, The",2015,10.0
"Gambia, The",2016,5.0
"Gambia, The",2017,8.0
"Gambia, The",2018,6.0
"Gambia, The",2019,20.0
"Gambia, The",2020,10.0
"Gambia, The",2021,19.0
Georgia,2002,536.0
Georgia,2003,292.0
Georgia,2004,1967.0
Georgia,2005,549.0
Georgia,2006,531.0
Georgia,2007,992.0
Georgia,2008,746.0
Georgia,2009,448.0
Georgia,2010,819.0
Georgia,2011,540.0
Georgia,2012,473.0
Georgia,2013,252.0
Georgia,2014,114.0
Georgia,2015,43.0
Georgia,2016,523.0
Georgia,2017,208.0
Georgia,2018,300.0
Georgia,2019,166.0
Georgia,2020,222.0
Georgia,2021,420.0
Germany,2002,15303.0
Germany,2003,6449.0
Germany,2004,44940.0
Germany,2005,39739.0
Germany,2006,42653.0
Germany,2007,93224.0
Germany,2008,61696.0
Germany,2009,28762.0
Germany,2010,75678.0
Germany,2011,34272.0
Germany,2012,26007.0
Germany,2013,15499.0
Germany,2014,21169.0
Germany,2015,12929.0
Germany,2016,26877.0
Germany,2017,33000.0
Germany,2018,52237.0
Germany,2019,108233.0
Ghana,2002,78395.0
Ghana,2003,24955.0
Ghana,2004,17625.0
Ghana,2005,41346.0
Ghana,2006,27136.0
