,Year,Wheat yield
312,1968,1.6342
313,1969,1.8379999
314,1970,1.8706
315,1971,1.9497
316,1972,1.8637999
317,1973,1.9133999
318,1974,1.7008
319,1975,1.8697
320,1976,1.9324
321,1977,1.8834
322,1978,1.9715999
323,1979,1.9548999
324,1980,1.981
325,1981,2.1095
326,1982,2.2166998
327,1983,2.2805
328,1984,2.2739
329,1985,2.1941
330,1986,2.1969
331,1987,2.2665
332,1988,1.9224999
333,1989,2.0674
334,1990,2.416
335,1991,2.2381
336,1992,2.4278998
337,1993,2.4322999
338,1994,2.3803
339,1995,2.343
340,1996,2.3883
341,1997,2.4622998
342,1998,2.6759
343,1999,2.7024
344,2000,2.666
345,2001,2.4652
346,2002,2.2175
347,2003,2.6404998
348,2004,2.7515
349,2005,2.7553
350,2006,2.593
351,2007,2.6267998
352,2008,2.9529998
353,2009,2.7918
354,2010,3.0298998
355,2011,3.0477998
356,2012,3.0576
357,2013,3.2408
358,2014,2.9224
359,2015,2.8825
360,2016,3.4675
361,2017,3.2012
362,2018,3.1992
363,2019,3.3792
364,2020,3.2919
365,2021,2.8307
366,1961,1.1111
367,1962,1.1111
368,1963,1.1111
369,1964,0.92859995
370,1965,1.1111
371,1966,1.1
372,1967,1.35
373,1968,1.35
374,1969,0.94299996
375,1970,0.85459995
376,1971,0.913
377,1972,1.1592
378,1973,0.8867
379,1974,1.3065
380,1975,1.0
381,1976,1.0
382,1977,0.76919997
383,1978,0.5882
384,1979,0.5333
385,1980,0.5833
386,1981,0.63159996
387,1982,0.625
388,1983,0.625
389,1984,0.625
390,1985,0.625
391,1986,0.79999995
392,1987,0.79999995
393,1988,0.79999995
394,1989,0.79999995
395,1990,0.7995
396,1991,0.79999995
397,1992,0.79999995
398,1993,0.88619995
399,1994,1.0
400,1995,1.1865
401,1996,1.3758
402,1997,1.5529
403,1998,1.7142999
404,1999,1.7391
405,2000,1.7025
406,2001,1.6667
407,2002,1.5485
408,2003,1.3879
409,2004,1.2412
410,2005,1.086
411,2006,1.0
412,2007,1.0
413,2008,1.0
414,2009,1.0
415,2010,1.0526
416,2011,1.0958999
417,2012,1.1294
418,2013,0.9399
419,2014,0.7798
420,2015,1.0059
421,2016,0.8829
422,2017,0.858
423,2018,0.91169995
424,2019,0.88379997
425,2020,0.88409996
426,2021,0.893
427,1961,1.295
428,1962,1.5222
429,1963,1.5751
430,1964,1.8353
431,1965,1.3212
432,1966,1.1982
433,1967,1.2595
434,1968,0.9833
435,1969,1.3522999
436,1970,1.3294
437,1971,1.2666999
438,1972,1.5911
439,1973,1.6574
440,1974,1.4103
441,1975,1.6259999
442,1976,1.7045
443,1977,1.3612
444,1978,1.7396
445,1979,1.6933999
446,1980,1.5596
447,1981,1.4014
448,1982,2.0500998
449,1983,1.8405
450,1984,2.3068
451,1985,1.6177
452,1986,1.7818999
453,1987,1.8847
454,1988,1.8343999
455,1989,1.8946999
456,1990,1.8946999
457,1991,1.8972
458,1992,2.1808999
459,1993,2.3272
460,1994,2.0237
461,1995,2.1675
462,1996,1.9344
463,1997,2.2426
464,1998,2.6088
465,1999,2.3028
466,2000,2.4873
467,2001,2.4933999
468,2002,2.2398
469,2003,2.0361
470,2004,2.5441
471,2005,2.6355999
472,2006,2.5302
473,2007,2.6234
474,2008,2.8271
475,2009,1.9627999
476,2010,2.7113
477,2011,3.5063
478,2012,3.2199
479,2013,2.6581
480,2014,2.6619
481,2015,2.81
482,2016,2.8623
483,2017,3.3047
484,2018,3.1806
485,2019,3.2159998
486,2020,2.9387
487,2021,2.7595
488,1992,2.1599998
489,1993,2.2257
490,1994,1.7842
491,1995,2.5479999
492,1996,2.3569
493,1997,1.7009
494,1998,2.0651
495,1999,1.9466
496,2000,1.6679
497,2001,2.2263
498,2002,2.3876998
499,2003,1.7183
500,2004,2.3416
501,2005,2.0252
502,2006,1.4627
503,2007,2.5837
504,2008,2.4322
505,2009,2.2374
506,2010,2.1192
507,2011,2.8799999
508,2012,2.6009998
509,2013,3.1273
510,2014,3.2259998
511,2015,3.3437
512,2016,3.2426999
513,2017,2.1783
514,2018,2.824
515,2019,1.9564999
516,2020,2.2528
517,2021,2.4689
518,1961,0.7488306
519,1962,0.84461707
520,1963,0.85306096
521,1964,0.8432275
522,1965,0.9750601
523,1966,0.96613324
524,1967,1.033632
525,1968,1.0844697
526,1969,1.099214
527,1970,1.1135769
528,1971,1.2257415
529,1972,1.2964938
530,1973,1.217583
531,1974,1.2761098
532,1975,1.4195487
533,1976,1.5386351
534,1977,1.4122207
535,1978,1.5712845
536,1979,1.7384086
537,1980,1.612209
538,1981,1.741676
539,1982,1.8974645
540,1983,2.0534477
541,1984,2.144763
542,1985,2.1317585
543,1986,2.2903395
544,1987,2.1888118
545,1988,2.2488372
546,1989,2.2975495
547,1990,2.3842149
548,1991,2.392449
549,1992,2.3489404
550,1993,2.3391953
551,1994,2.2596948
552,1995,2.3763628
553,1996,2.417954
554,1997,2.6160908
555,1998,2.5174015
556,1999,2.6502366
557,2000,2.5984643
558,2001,2.6010804
559,2002,2.6223617
560,2003,2.5941331
561,2004,2.680203
562,2005,2.6851103
563,2006,2.8304331
564,2007,2.8653684
565,2008,2.8211412
566,2009,2.9464912
567,2010,2.8517158
568,2011,3.0506816
569,2012,3.0509703
570,2013,3.1056173
571,2014,3.155318
572,2015,3.1789598
573,2016,3.265289
574,2017,3.3285565
575,2018,3.3676026
576,2019,3.412274
577,2020,3.417254
578,2021,3.3912776
579,1961,0.7486
580,1962,0.8448
581,1963,0.85319996
582,1964,0.84309995
583,1965,0.9755
584,1966,0.9661
585,1967,1.0342
586,1968,1.0845
587,1969,1.0993999
588,1970,1.1129
589,1971,1.2257
590,1972,1.2961999
591,1973,1.2162
592,1974,1.2759
593,1975,1.4195
594,1976,1.5385
595,1977,1.412
596,1978,1.5712
597,1979,1.7383
598,1980,1.6121999
599,1981,1.7415999
600,1982,1.8973999
601,1983,2.0534
602,1984,2.1447
603,1985,2.1317
604,1986,2.2903
605,1987,2.1887999
606,1988,2.2488
607,1989,2.2975
608,1990,2.3841999
609,1991,2.3924
610,1992,2.3488998
611,1993,2.3392
612,1994,2.2597
613,1995,2.3764
614,1996,2.418
615,1997,2.6160998
616,1998,2.5174
617,1999,2.6502
618,2000,2.5983999
619,2001,2.6009998
620,2002,2.6223
621,2003,2.5941
622,2004,2.6801
623,2005,2.6850998
624,2006,2.8304
625,2007,2.8653
626,2008,2.8209999
627,2009,2.9464998
628,2010,2.8516998
629,2011,3.0505998
630,2012,3.0509
631,2013,3.1055999
632,2014,3.1552
633,2015,3.1789
634,2016,3.2651
635,2017,3.3284
636,2018,3.3674
637,2019,3.4122
638,2020,3.4171999
639,2021,3.3911
640,1961,1.1291
641,1962,1.2533
642,1963,1.3386999
643,1964,1.3841
644,1965,0.997
645,1966,1.507
646,1967,0.831
647,1968,1.365
648,1969,1.1118
649,1970,1.2178999
650,1971,1.2056999
651,1972,0.8666
652,1973,1.3396
653,1974,1.3671
654,1975,1.4006
655,1976,1.3175
656,1977,0.9413
657,1978,1.7651
658,1979,1.4514999
659,1980,0.9622
660,1981,1.3765
661,1982,0.7705
662,1983,1.7026
663,1984,1.5454999
664,1985,1.3694999
665,1986,1.4476
666,1987,1.3644999
667,1988,1.5787
668,1989,1.5787
669,1990,1.6344
670,1991,1.6344
671,1992,1.4698
672,1993,1.7811999
673,1994,1.9657999
674,1995,1.1356
675,1996,1.7899
676,1997,2.1673
677,1998,1.8412
678,1999,1.8596
679,2000,2.0066
680,2001,1.8209
681,2002,2.1076
682,2003,0.907
683,2004,1.9998
684,2005,1.6348
685,2006,2.0212998
686,2007,0.9173
687,2008,1.0788
688,2009,1.5831
689,2010,1.5728999
690,2011,2.0300999
691,2012,2.1511
692,2013,1.7608999
693,2014,2.0061
694,2015,1.9172
695,2016,1.9742999
696,2017,2.61
697,2018,1.9178
698,2019,1.6917
699,2020,1.4681
700,2021,2.5249
701,1850,0.77
702,1911,1.37
703,1934,1.8000001
704,1950,1.71
705,1961,2.5802
706,1962,2.6122
707,1963,2.5098999
708,1964,2.6524
709,1965,2.3969
710,1966,2.8581
711,1967,3.3049
712,1968,3.4175
713,1969,3.3172
714,1970,2.9445
715,1971,3.5577
716,1972,3.1460998
717,1973,3.5268
718,1974,4.0938
719,1975,3.5063
720,1976,4.2634
721,1977,3.7587998
722,1978,4.1770997
723,1979,3.1457
724,1980,4.4673
725,1981,3.737
726,1982,4.2767
727,1983,4.5299997
728,1984,4.7632
729,1985,4.8862
730,1986,4.3605
731,1987,4.5284
732,1988,5.3436
733,1989,4.9014997
734,1990,5.0478997
735,1991,5.0734997
736,1992,5.3938
737,1993,4.2246
738,1994,5.2088
739,1995,5.0856
740,1996,5.0069
741,1997,5.2044
742,1998,5.0748997
743,1999,5.4347997
744,2000,4.4688
745,2001,5.2412
746,2002,4.9667
747,2003,4.3801
748,2004,5.9234
749,2005,5.0285997
750,2006,4.9066
751,2007,4.7763
752,2008,5.6935
753,2009,4.9295
754,2010,5.0116997
755,2011,5.8549
756,2012,4.1387997
757,2013,5.3743
758,2014,5.9217
759,2015,5.6962
760,2016,6.2534
761,2017,4.8712
762,2018,4.6453
763,2019,5.7372
764,2020,5.9234
765,2021,5.5299
766,1992,2.1705
767,1993,1.6854999
768,1994,1.6295999
769,1995,1.494
770,1996,1.6626999
771,1997,1.6913999
772,1998,1.5763999
773,1999,1.9992
774,2000,2.3223
775,2001,2.6153998
776,2002,2.6028
777,2003,2.5599
778,2004,2.5748
779,2005,2.5818
780,2006,2.605
781,2007,2.6722
782,2008,2.7251
783,2009,2.5946
784,2010,1.9381
785,2011,2.4376
786,2012,2.6144
787,2013,2.6719
788,2014,2.3285
789,2015,3.0384998
790,2016,3.0475
791,2017,2.9687
792,2018,2.9383
793,2019,3.1555
794,2020,3.0907998
795,2021,3.2101
796,1961,0.57379997
797,1962,0.6753
798,1963,0.6069
799,1964,0.60109997
800,1965,0.64669997
801,1966,0.6473
802,1967,0.7926
803,1968,0.75799996
804,1969,0.79639995
805,1970,0.87399995
806,1971,0.88799995
807,1972,0.90379995
808,1973,0.7572
809,1974,0.8987
810,1975,0.926
811,1976,1.4534999
812,1977,1.6211
813,1978,1.8419
814,1979,1.8659999
815,1980,1.8989999
816,1981,1.8478999
817,1982,1.8113999
818,1983,2.109
819,1984,2.3021
820,1985,2.1647
821,1986,1.9282
822,1987,1.8657
823,1988,1.7542
824,1989,1.8246
825,1990,1.5034
826,1991,1.6767
827,1992,1.8534
828,1993,1.8456999
829,1994,1.839
830,1995,1.9483
831,1996,1.9531
832,1997,2.0544
833,1998,2.2408
834,1999,2.1627
835,2000,2.2103999
836,2001,2.1643
837,2002,2.1643999
838,2003,2.1327
839,2004,1.9526999
840,2005,1.7478
841,2006,1.5344
842,2007,1.8470999
843,2008,2.1753
844,2009,2.1516
845,2010,2.3959
846,2011,2.6011999
847,2012,2.7789
848,2013,3.0138
849,2014,3.0319
850,2015,3.086
851,2016,3.031
852,2017,3.1576
853,2018,3.1302
854,2019,3.0779998
855,2020,3.097
856,2021,3.2996
857,1992,2.7983
858,1993,2.6826
859,1994,2.2802
860,1995,2.4791
861,1996,2.1989
862,1997,2.5132
863,1998,2.1347
864,1999,1.7321999
865,2000,2.1367
866,2001,2.1255
867,2002,2.6919
868,2003,2.5082
869,2004,3.304
870,2005,3.2812
871,2006,2.8191
872,2007,3.2770998
873,2008,3.9752
874,2009,3.5428
875,2010,2.8851
876,2011,3.3088
877,2012,3.5821998
878,2013,3.0609999
879,2014,3.9424
880,2015,3.9622998
881,2016,3.2937999
882,2017,3.6539998
883,2018,2.7496
884,2019,3.3274
885,2020,3.9413
886,2021,3.3609
887,1850,1.0500001
888,1911,2.53
889,1934,2.7700002
890,1950,3.22
891,1978,4.82
892,2000,7.9198
893,2001,8.0475
894,2002,8.2757
895,2003,8.5786
896,2004,8.980599
897,2005,8.2733
898,2006,8.2549
899,2007,7.8908
900,2008,8.7585
901,2009,9.465199
902,2010,8.8272
903,2011,8.4046
904,2012,8.4522
905,2013,8.934899
906,2014,9.4129
907,2015,10.0152
908,2016,6.7871
909,2017,8.6174
910,2018,8.4923
911,2019,9.3364
912,2020,8.9463
913,2021,7.7883997
914,1961,3.7115998
915,1962,4.1868
916,1963,4.0814
917,1964,4.3638
918,1965,3.9701
919,1966,2.6473
920,1967,4.2594
921,1968,4.0839
922,1969,3.8305998
923,1970,3.8481998
924,1971,4.4848
925,1972,4.4206
926,1973,4.9497
927,1974,5.4311
928,1975,3.8018
929,1976,4.4325
930,1977,4.1043997
931,1978,5.2535
932,1979,5.1303997
933,1980,4.6131
934,1981,5.349
935,1982,5.8090997
936,1983,5.2262
937,1984,6.8436
938,1985,6.2521996
939,1986,6.7404
940,1987,5.7795997
941,1988,6.5242
942,1989,6.7441998
943,1990,6.0339
944,1991,6.6884
945,1992,6.5309
946,1993,7.1303
947,1994,7.3293996
948,1995,7.0119
949,1996,8.9184
950,1997,7.9336996
951,1998,8.2523
952,1999,8.0957
953,1961,1.0203999
954,1962,1.02
955,1963,1.0196
956,1964,1.0192
957,1965,1.0188999
958,1966,1.0181999
959,1967,1.0174999
960,1968,1.0169
961,1969,1.0164
962,1970,1.0159
963,1971,1.0153999
964,1972,1.0149
965,1973,1.0145
966,1974,1.0141
967,1975,1.0137
968,1976,1.0133
969,1977,1.0
970,1978,1.0
971,1979,1.0
972,1980,1.0
973,1981,1.0941
974,1982,1.0526
975,1983,1.1
976,1984,1.1366
977,1985,1.0
978,1986,0.9167
979,1987,0.79999995
980,1988,0.6396
981,1989,0.6386
982,1990,0.76919997
983,1991,0.8333
984,1992,0.9091
985,1993,1.1667
986,1994,1.25
987,1995,1.3
988,1996,1.4167
989,1997,1.5385
990,1998,1.5385
991,1999,1.5385
992,2000,0.9457
993,2001,1.0
994,2002,1.1269
995,2003,1.4239
996,2004,1.3656
997,2005,1.2753999
998,2006,1.3481
999,2007,1.2921
1000,2008,1.7655
1001,2009,1.4370999
1002,2010,2.1636999
1003,2011,2.6685998
1004,2012,2.2470999
1005,2013,2.3392
1006,2014,2.2340999
1007,2015,1.9016
1008,2016,1.6751
1009,2017,1.8237
1010,2018,1.2677
1011,2019,1.313
1012,2020,1.6321
1013,2021,1.2623999
1014,1961,0.5625
1015,1962,0.5
1016,1963,0.5189
1017,1964,0.5229
1018,1965,0.87299997
1019,1966,0.55
1020,1967,0.59999996
1021,1968,0.59999996
1022,1969,0.6954
1023,1970,0.7
1024,1971,0.7862
1025,1972,0.8333
1026,1973,0.8278
1027,1974,0.84889996
1028,1975,0.8034
1029,1976,0.8639
1030,1977,0.653
1031,1978,0.64559996
1032,1979,0.69089997
1033,1980,0.5992
1034,1981,0.6943
1035,1982,0.6845
1036,1983,0.6045
1037,1984,0.79359996
1038,1985,0.74149996
1039,1986,0.7642
1040,1987,0.80789995
1041,1988,0.76699996
1042,1989,0.69619995
1043,1990,0.648
1044,1991,0.9339
1045,1992,0.8088
1046,1993,1.032
1047,1994,0.75189996
1048,1995,0.97459996
1049,1996,0.74899995
1050,1997,1.0641
1051,1998,0.90419996
1052,1999,0.8677
1053,2000,0.84919995
1054,2001,0.98899996
1055,2002,0.885
1056,2003,0.9878
1057,2004,1.0665
1058,2005,1.0741
1059,2006,1.1113
1060,2007,0.921
1061,2008,1.2931
1062,2009,1.2861999
1063,2010,1.392
1064,2011,0.97309995
1065,2012,0.91859996
1066,2013,1.1166999
1067,2014,1.0652
1068,2015,1.7207999
1069,2016,1.4333999
1070,2017,0.88479996
1071,2018,1.5116999
1072,2019,1.1992999
1073,2020,1.522
1074,2021,1.6745
1075,1992,3.3999999
1076,1993,3.2612998
1077,1994,3.4778
1078,1995,3.4106998
1079,1996,3.0126998
1080,1997,3.0193
1081,1998,3.2113
1082,1999,2.7163
1083,2000,3.2289999
1084,2001,2.4263
1085,2002,3.0026
1086,2003,2.2617
1087,2004,3.6711
1088,2005,3.0568
1089,2006,3.1697998
1090,2007,3.4759998
1091,2008,3.7354
1092,2009,3.7751
1093,2010,2.6620998
1094,2011,3.596
1095,2012,3.7082
1096,2013,3.9206
1097,2014,2.8639998
1098,2015,3.5263
1099,2016,4.2945
1100,2017,4.174
1101,2018,4.0196
1102,2019,3.8392
1103,2020,4.6029
1104,2021,4.7888
1105,1961,2.5
1106,1962,2.5
1107,1963,2.5
1108,1964,2.5
1109,1965,2.5
1110,1966,2.3683999
1111,1967,2.3683999
1112,1968,2.3841999
1113,1969,2.2367
1114,1970,1.8946999
1115,1971,2.5
1116,1972,2.5
1117,1973,2.0679998
1118,1974,2.037
1119,1975,2.037
1120,1976,2.1111
1121,1977,2.0
1122,1978,2.0
1123,1979,2.0
1124,1980,2.0
1125,1981,2.0
1126,1982,2.0
1127,1983,2.0
1128,1984,2.0
1129,1985,2.0
1130,1986,2.0
1131,1987,2.0
1132,1988,2.0
1133,1989,2.0
1134,1990,2.6178
1135,1991,2.2268
1136,1992,2.1474
1137,1993,2.0681
1138,1994,1.9886999
1139,1995,1.9093
1140,1996,1.8929
1141,1997,1.7218
1142,1998,1.6667
1143,1999,1.6322999
1144,2000,1.5862
1145,2001,1.5713999
1146,2002,1.4548999
1147,2003,1.3665
1148,2004,1.2686
1149,2005,1.1611999
1150,2006,1.0455999
1151,2007,0.9
1152,2008,0.79999995
1153,2018,1.3319
1154,2019,0.6081
1155,2020,1.3615
1156,2021,1.5022999
1157,1961,0.533
1158,1962,0.94909996
1159,1963,0.49449998
1160,1964,0.87649995
1161,1965,0.7636
1162,1966,0.8573
1163,1967,0.7574
1164,1968,0.8825
1165,1969,0.9762
1166,1970,0.97309995
1167,1971,0.8865
1168,1972,0.42369998
1169,1973,1.1043999
1170,1974,1.1567999
1171,1975,0.61
1172,1976,0.9084
1173,1977,0.6552
1174,1978,0.9572
1175,1979,0.76409996
1176,1980,0.8653
1177,1981,1.1508
1178,1982,0.64599997
1179,1983,1.1903
1180,1984,1.1387
1181,1985,1.614
1182,1986,1.4466
1183,1987,1.7653999
1184,1988,1.6528
1185,1989,1.6925
1186,1990,1.1539999
1187,1991,1.4232
1188,1992,1.4295
1189,1993,1.4825
1190,1994,1.5540999
1191,1995,1.5419999
1192,1996,1.8334
1193,1997,1.6358999
1194,1998,1.6111
1195,1999,1.9698999
1196,2000,1.5156
1197,2001,1.9488
1198,2002,1.4754
1199,2003,2.4034998
1200,2004,2.0728
1201,2005,1.9734999
1202,2006,1.5927
1203,2007,2.2199
1204,2008,2.5497
1205,2009,2.0802
1206,2010,2.8288
1207,2011,2.6601999
1208,2012,2.31
1209,2013,2.7491
1210,2014,2.2087998
1211,2015,2.2278
1212,2016,3.1550999
1213,2017,2.279
1214,2018,2.6292
1215,2019,2.6578
1216,2020,2.6073
1217,2021,2.8632
1218,1911,0.62
1219,1934,0.92
1220,1950,1.24
1221,1961,1.5416
1222,1962,1.6668999
1223,1963,1.592
1224,1964,1.7736
1225,1965,2.5486
1226,1966,2.7958999
1227,1967,3.0579998
1228,1968,2.4048
1229,1969,2.4724998
1230,1970,2.9903
1231,1971,3.0542
1232,1972,3.7278998
1233,1973,3.4886
1234,1974,3.3562999
1235,1975,3.2851999
1236,1976,3.824
1237,1977,3.7177
1238,1978,3.708
1239,1979,3.5033998
1240,1980,3.975
1241,1981,4.3034997
1242,1982,4.6368
1243,1983,3.1992998
1244,1984,4.2931
1245,1985,2.8748999
1246,1986,3.8399
1247,1987,3.8221
1248,1988,4.0144
1249,1989,4.7661
1250,1990,4.5513997
1251,1991,3.748
1252,1992,3.1071
1253,1993,2.858
1254,1994,2.8446999
1255,1995,2.9085
1256,1996,1.8817999
1257,1997,2.9501998
1258,1998,2.8058
1259,1999,2.7352
1260,2000,2.8421
1261,2001,3.0081
1262,2002,3.0123
1263,2003,2.3827999
1264,2004,3.81
1265,2005,3.1567
1266,2006,3.4025998
1267,2007,2.1973
1268,2008,4.1674
1269,2009,3.1873
1270,2010,3.6185
1271,2011,3.9197
1272,2012,3.7596
1273,2013,4.1885
1274,2014,4.2172
1275,2015,4.5316
1276,2016,4.7483
1277,2017,5.3582997
1278,2018,4.9129
1279,2019,5.2721996
1280,2020,4.0393
1281,2021,6.0878
1282,1961,0.44439998
1283,1962,0.7143
1284,1963,0.6981
1285,1964,0.6491
1286,1965,0.6721
1287,1966,0.6774
1288,1967,0.6885
1289,1968,0.784
1290,1969,0.54609996
1291,1970,0.5805
1292,1971,0.6157
1293,1972,0.54109997
1294,1973,0.7069
1295,1974,0.5212
1296,1975,0.6466
1297,1976,0.7624
1298,1977,0.79999995
1299,1978,0.5484
1300,1979,0.76669997
1301,1980,0.6656
1302,1981,0.63049996
1303,1982,0.59999996
1304,1983,0.59999996
1305,1984,0.8889
1306,1985,0.482
1307,1986,1.0833
1308,1987,1.1080999
1309,1988,0.7378
1310,1989,0.81769997
1311,1990,0.7478
1312,1991,0.7333
1313,1992,0.71199995
1314,1993,0.7787
1315,1994,0.8824
1316,1995,0.74399996
1317,1996,0.7755
1318,1997,0.77739996
1319,1998,0.81479996
1320,1999,0.70849997
1321,2000,0.6774
1322,2001,0.8667
1323,2002,0.829
1324,2003,0.7895
1325,2004,0.8326
1326,2005,0.7387
1327,2006,0.8007
1328,2007,0.8407
1329,2008,0.84309995
1330,2009,0.8583
1331,2010,0.7317
1332,2011,0.69729996
1333,2012,0.4448
1334,2013,0.7276
1335,2014,0.57629997
